stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,route_long
18062,,FLORES MAGÓN_1_2,EJE Central,19.44952588,-99.1383522,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
17711,,GLORIETA DE CAMARONES,Rosario Chapultepec,19.4675532,-99.17650223,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17872,,PUERTO DE CÁDIZ (COMERCIAL MEXICANA),San Felipe Metro Hidalgo,19.47610478,-99.0908522,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
36075,,PUENTE SAN FRANCISCO,San Francisco,19.3442089,-99.16214705,Ciudad Universitaria - San Francisco Culhuacán,STE,San Francisco Culhuacán - Ciudad Universitaria
17802,,PUERTO DE BARRA DE NAUTLA,San Felipe Metro Hidalgo,19.47391356,-99.08233545,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
17805,,PUERTO DE COATZACOALCOS,San Felipe Metro Hidalgo,19.47509035,-99.0885061,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
18202,,PLANETARIO,Circuitio Politecnico,19.49618404,-99.14006699,Terminal Zacatenco,STE,Circuito Politécnico
18030,,DIVISIÓN DEL NORTE_1,EJE Central,19.34277141,-99.14859653,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
18103,,CUMBRES DE ACULTZINGO,EJE Central,19.3928242,-99.14646948,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
36084,,CERRO MACUILTEPEC,San Francisco,19.34106057,-99.13771749,Ciudad Universitaria - San Francisco Culhuacán,STE,San Francisco Culhuacán - Ciudad Universitaria
17934,,NORTE 66-A,Rosario Puerto Aereo,19.46279886,-99.1099298,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17978,,NORTE 58,Rosario Puerto Aereo,19.46459911,-99.11418071,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
18113,,SARATOGA,EJE Central,19.35868947,-99.15238655,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
18075,,TESORERÍA,EJE Central,19.48538545,-99.14362124,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
18119,,TERMINAL MIXCOAC,EJE 7,19.37586091,-99.18797135,Metro Mixcoac - San Andrés Tetepilco,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
15120,,TERMINAL CHAPULTEPEC,,19.42052568,-99.17532648,Metro Velódromo - Metro Chapultepec,STE,Corredor Cero Emisiones Eje 2 - 2a sur
17842,,VALERIO TRUJANO,San Felipe Metro Hidalgo,19.43934705,-99.14423624,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
15126,,TONALÁ_1,,19.41360541,-99.16178153,Metro Chapultepec - Metro Velódromo,STE,Corredor Cero Emisiones Eje 2 - 2a sur
36110,,CERRO DEL HOMBRE_1,San Francisco,19.34627344,-99.17652414,San Francisco Culhuacán - Ciudad Universitaria,STE,San Francisco Culhuacán - Ciudad Universitaria
36083,,CERRO ZACAYUCA,San Francisco,19.34122239,-99.13919473,Ciudad Universitaria - San Francisco Culhuacán,STE,San Francisco Culhuacán - Ciudad Universitaria
36114,,CERRO DE TUERA,San Francisco,19.3421126,-99.18175024,San Francisco Culhuacán - Ciudad Universitaria,STE,San Francisco Culhuacán - Ciudad Universitaria
17771,,CALZ. MÉXICO - TACUBA_1,Rosario Chapultepec,19.45688103,-99.18037534,Metro El Rosario - Metro Chapultepec,STE,Metro El Rosario - Metro Chapultepec
18117,,CENTRAL,EJE Central,19.34230574,-99.14764166,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
17893,,AV. VALLE DEL YANG TSE,San Felipe Metro Hidalgo,19.49497501,-99.06541357,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
18070,,C.C.H. VALLEJO,EJE Central,19.48409948,-99.1422294,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
18187,,AV. OTHÓN DE MENDIZABAL,Circuitio Politecnico,19.50468593,-99.15030185,Terminal Zacatenco,STE,Circuito Politécnico
36074,,CUADRANTE SAN FRANCISCO,San Francisco,19.34453284,-99.16448593,Ciudad Universitaria - San Francisco Culhuacán,STE,San Francisco Culhuacán - Ciudad Universitaria
18095,,DR. NAVARRO,EJE Central,19.42089875,-99.14334969,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
18082,,CHOPIN_1,EJE Central,19.46112557,-99.13774121,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
17692,,DARWIN,Rosario Chapultepec,19.42893719,-99.17998752,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
15142,,CONGRESO DE LA UNIÓN_1_4,,19.41359491,-99.12201157,Metro Chapultepec - Metro Velódromo,STE,Corredor Cero Emisiones Eje 2 - 2a sur
17900,,AV. AQUILES SERDÁN,Rosario Puerto Aereo,19.5066549,-99.2083776,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
18015,,AV. DEL ROSARIO,Rosario Puerto Aereo,19.50165899,-99.20419335,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17791,,EDO. DE OAXACA,San Felipe Metro Hidalgo,19.48509718,-99.07018475,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
18173,,EDIF. 10,11 Y 12 ESIACircuitio Politecnico,19.50331594,-99.13481194,Terminal Zacatenco,STE,Circuito Politécnico
17792,,MORELOS_1_4,San Felipe Metro Hidalgo,19.4838137,-99.07067956,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
18129,,NICOLÁS SAN JUAN,EJE 7,19.3709723,-99.16667461,Metro Mixcoac - San Andrés Tetepilco,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
18183,,MONTEVIDEO_1_2,Circuitio Politecnico,19.49359422,-99.14655158,Terminal Zacatenco,STE,Circuito Politécnico
18145,,TERMINAL SAN ANDRÉS TETEPILCO,EJE 7,19.36638803,-99.13327947,Metro Mixcoac - San Andrés Tetepilco,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
17944,,TRANSVAAL_1,Rosario Puerto Aereo,19.44294218,-99.08805825,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17801,,TLACOTALPAN_1_2,San Felipe Metro Hidalgo,19.47367087,-99.08107347,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
17696,,THIERS_1,Rosario Chapultepec,19.43694655,-99.18324322,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
15084,,TEXTITLÁN,,19.31255796,-99.14057209,Tasqueña - Xochimilco,STE,Tasqueña - Xochimilco
18028,,TERMINAL CENTRAL DE AUTOBUSES DEL SUR,EJE Central,19.34106639,-99.13920087,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
