stop_id,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,route_long
18316,Avenida Vasco De Quiroga - Guillermo González Camarena,,19.36929213,-99.26186085,Centro Comercial Santa Fe - La Villa/Cantera,RTP,Centro Comercial Santa Fe -  La Villa/Cantera por Palmas (Noche Bus)
24457,Avenida Vasco de Quiroga - Porfirio Díaz,,19.3806684,-99.24232364,Metro Tacubaya - Jesús del Monte (Cuajimalpa) Nocturno,RTP,Jesús del Monte (Cuajimalpa) - Metro Tacubaya (Noche Bus)
22713,Avenida Vasco de Quiroga - Pueblo Nuevo,,19.38204483,-99.23919082,Jesús del Monte (Cuajimalpa ) - Metro Tacubaya Nocturno,RTP,Jesús del Monte (Cuajimalpa) - Metro Tacubaya (Noche Bus)
29835,Baja California Sur - Estado De Oaxaca,,19.48620506,-99.07440662,Central de Abastos - León de los Aldama,RTP,San Felipe/León de Los Aldama -  Central de Abastos
23311,Barranca del Muerto - Tiburcio Sanchez de la Barquera,,19.36338101,-99.19022441,Metro Mixcoac - Tepeaca,RTP,Tepeaca - Metro Mixcoac
29757,Boulevard Puerto Aéreo - Avenida 4_1,,19.41853634,-99.09680843,Central de Abastos - León de los Aldama,RTP,San Felipe/León de Los Aldama -  Central de Abastos
15684,Cafetales - Cañaverales,Frente a Iglesia Cristiana,19.29515489,-99.11468267,Metro San Lázaro - Bosque de Nativitas por Cafetales,RTP,Bosque de Nativitas - Metro San Lázaro por Cafetales
26354,Calz. Jalalpa - Francisco Villa,,19.38329981,-99.21604872,Jalalpa - Metro Tacubaya,RTP,Ampliación Jalalpa - Metro Tacubaya
27529,Calzada De Las Águilas - 3ra. Cerrada De Bahia,,19.34969555,-99.2234087,Metro Chapultepec - Puete Colorado,RTP,Puente Colorado - Metro Chapultepec
27416,Calzada De Las Águilas - Río Nautla,,19.34758999,-99.23205614,Puente Colorado - Metro Chapultepec,RTP,Puente Colorado - Metro Chapultepec
19956,Calzada De Los Gallos - Avenida De Los Maestros,,19.45614255,-99.16628838,Metro Cuatro Caminos - Colonia Moctezuma 2da. Sección,RTP,Metro Cuatro Caminos -  Colonia Moctezuma 2da. Sección
23956,Calzada De Tlalpan - Álvaro Gálvez Y Fuentes,,19.33741613,-99.14210558,San Pedro Mártir - Metro Taxqueña,RTP,Metro Tasqueña - San Pedro Martir por FOVISSSTE
24361,Calzada De Tlalpan - Benito Juárez_1,,19.32157197,-99.13793206,Metro Taxqueña - San Pedro Mártir,RTP,Metro Tasqueña - San Pedro Martir por FOVISSSTE
24073,Calzada De Tlalpan - Cádiz,,19.39865221,-99.13749218,Republica del Salvador - Santiago Tepalcatlalpan,RTP,Santiago Tepalcatlalpan - República del Salvador
23961,Calzada De Tlalpan - Cerro De San Antonio,,19.3396028,-99.14280295,San Pedro Mártir - Metro Taxqueña,RTP,Metro Tasqueña - San Pedro Martir por FOVISSSTE
31848,Calzada De Tlalpan - Glorieta Huipulco,,19.29851675,-99.15053844,Topilejo - Metro Universidad,RTP,Topilejo - Metro Universidad
19689,Calzada De Tlalpan - Tezoquipa,,19.2821726,-99.16494727,Metro Universidad - Topilejo,RTP,Topilejo - Metro Universidad
24400,Calzada De Tlalpan - Vergel,,19.30764,-99.14299607,Metro Taxqueña - San Pedro Mártir,RTP,Metro Tasqueña - San Pedro Martir por FOVISSSTE
15614,Calzada Ermita Iztapalapa - Avenida Tláhuac,,19.35614365,-99.10544515,Metro Santa Martha -  Metro Mixcoac,RTP,Metro Santa Martha -  Metro Mixcoac
16457,Calzada Ermita Iztapalapa - Avenida Tláhuac_1,,19.35592096,-99.10599232,Metro Mixcoac -  Metro Santa Martha,RTP,Metro Santa Martha -  Metro Mixcoac
16605,Calzada Ermita Iztapalapa - Doce Metros,,19.35431149,-99.00978684,Colonia Miguel de la Madrid-Metro Zaragoza,RTP,Colonia Miguel de la Madrid -  Metro Zaragoza
24812,Avenida 5 de Mayo - Calle 6,,19.35974719,-99.2234087,Metro Mixcoac - Tlacuitlapa Puerta Grande,RTP,Metro Mixcoac - Puerta Grande Tlacuitlapa
23323,Avenida 5 De Mayo - Loma Escondida,,19.36423125,-99.21159625,Metro Mixcoac - Tlacuitlapa Puerta Grande,RTP,Metro Mixcoac - Puerta Grande Tlacuitlapa
23241,Avenida 604 - Calle 639,,19.45170148,-99.06423569,Metro Chapultepec - Aragón por Avenida 604,RTP,Aragón - Metro Chapultepec por Avenida 604
18374,Avenida 606 - Avenida 661,,19.45653708,-99.06110287,Aragón - Metro Chapultepec,RTP,Aragón - Metro Chapultepec por la Villa
19548,Avenida Actopan - Acueducto,,19.24906414,-99.05792713,Metro Tasqueña - Villa Milpa Alta,RTP,Villa Milpa Alta - Metro Tasqueña
22947,Avenida Antonio Delfín Madrigal - Paradero Metro Universidad Lado Poniente,,19.32429546,-99.17423844,Metro Universidad - Topilejo,RTP,Topilejo - Metro Universidad
18471,Avenida Benito Juárez - Avenida Principal,,19.35366364,-98.99018526,San Miguel Teotongo/Torres -  Metro Zaragoza/M. Tepalcates,RTP,San Miguel Teotongo/Torres  -  Metro Zaragoza/M. Tepalcates
16209,Avenida Benito Juárez - Independencia,,19.50805049,-99.18374419,Metro Tacuba - Metro Rosario,RTP,Metro Rosario - Metro Tacuba
29103,Avenida Bosques - Cerro De Las Palomas,,19.26992862,-99.23596144,Cierre de Circuito Bosques - Metro Universidad,RTP,Bosques del Pedregal - Metro Universidad por López Portillo
29079,Avenida Bosques - Paraje,,19.26895635,-99.23224926,Cierre de Circuito Bosques - Metro Universidad,RTP,Bosques del Pedregal - Metro Universidad por López Portillo
22380,Avenida Bosques De La Reforma - Bosques De Mangos,,19.40483527,-99.24294591,Col. Navidad ( las piedras) - Metro Tacubaya,RTP,Col. Navidad (Las Piedras) - Metro Tacubaya
22367,Avenida Bosques De La Reforma - Bosques De Maples,,19.39941119,-99.24812794,Col. Navidad ( las piedras) - Metro Tacubaya,RTP,Col. Navidad (Las Piedras) - Metro Tacubaya
22609,Avenida Bosques De La Reforma - Bosques Guanacaste,,19.39609189,-99.25582051,Metro Tacubaya - Col. Navidad ( las piedras),RTP,Col. Navidad (Las Piedras) - Metro Tacubaya
20471,Avenida Carlos Lazo - Tec. De Monterrey,,19.35896778,-99.26099181,Cierre de Circuito Santa Fe - Metro Miguel Ángel de Quevedo,RTP,ECOBÚS Santa Fe - Metro Miguel Ángel de Quevedo
23318,Avenida Centenario - Xochimilco,,19.36632647,-99.20314193,Metro Mixcoac - Tepeaca,RTP,Tepeaca - Metro Mixcoac
23222,Avenida Central - Calle 589,,19.44935445,-99.0734303,Metro Chapultepec - Aragón por Avenida 604,RTP,Aragón - Metro Chapultepec por Avenida 604
27032,Avenida Chicago - Guadalupe Victoria,,19.38460537,-99.21940684,Metro Tacubaya - Jalalpa,RTP,Ampliación Jalalpa - Metro Tacubaya
18312,Avenida Constituyentes - Secretaría De Hacienda,,19.39784263,-99.21778679,Metro Tacubaya - Col. Navidad ( las piedras),RTP,Col. Navidad (Las Piedras) - Metro Tacubaya
35897,Avenida Constituyentes - Vocacional 4_1,,19.40151608,-99.21007276,Metro Balderas - Cierre de Circuito Santa Fe,RTP,ECOBÚS Santa Fe - Metro Balderas
30723,Avenida Contreras - Hospital del DIF,,19.32588498,-99.21685338,Cierre de Circuito Santa Fe - Metro Miguel Ángel de Quevedo,RTP,ECOBÚS Santa Fe - Metro Miguel Ángel de Quevedo
23177,Avenida Cuitláhuac - Aldana,,19.4734403,-99.15955067,Metro Chapultepec - Aragón por Avenida 604,RTP,Aragón - Metro Chapultepec por Avenida 604
23165,Avenida Cuitláhuac - Biologo Maximinio Martinez,,19.46190867,-99.17757511,Metro Chapultepec - Aragón por Avenida 604,RTP,Aragón - Metro Chapultepec por Avenida 604
23180,Avenida Cuitláhuac - Leopoldo Auber,,19.4721051,-99.14182663,Metro Chapultepec - Aragón por Avenida 604,RTP,Aragón - Metro Chapultepec por Avenida 604
19290,Avenida Cuitláhuac - Nilo,,19.46679454,-99.17732835,Metro El Rosario - Parque México por Cuitláhuac,RTP,Metro El Rosario - Parque México por Cuitláhuac
19001,Avenida Cuitláhuac - Norte 1 H,,19.47238833,-99.14188027,Aragón - Panteón San Isidro Nocturno,RTP,Aragón - Panteón San Isidro (Noche Bus)
18655,Avenida de las Culturas - Uranio,,19.51087198,-99.19856071,Metro Rosario  - Metro Chapultepec,RTP,Metro El Rosario - Metro Chapultepec
22067,Avenida Del Imán - 5ta. Cerrada Del Imán,,19.30622244,-99.16178226,Topilejo - Metro Universidad,RTP,Topilejo - Metro Universidad
22034,Avenida Del Imán - Diamante,,19.30384293,-99.15944338,Topilejo - Metro Universidad,RTP,Topilejo - Metro Universidad
21085,Avenida Del Peñón - Norte 168,,19.44008737,-99.09085393,Colonia Moctezuma 2da. Sección - Metro Cuatro Caminos,RTP,Metro Cuatro Caminos -  Colonia Moctezuma 2da. Sección
15274,Avenida Granjas - Matlacoatl,,19.50105219,-99.17525768,Metro Martín Carrera - Metro Tacuba por Ceylán,RTP,Metro Martín Carrera - Metro Tacuba por Ceylán
19626,Avenida H. Congreso De La Unión - Avenida Río Consulado,,19.45714405,-99.11430717,U.C.T.M. Atzacoalco - Carmen Serdán,RTP,U.C.T.M. Atzacoalco - Carmen Serdán
21113,Avenida H. Congreso De La Unión - Emiliano Zapata_1,,19.4285129,-99.11914587,Carmen Serdán - U.C.T.M. Atzacoalco,RTP,U.C.T.M. Atzacoalco - Carmen Serdán
21195,Avenida H. Congreso De La Unión - Oriente 91,,19.46087686,-99.11291242,Carmen Serdán - U.C.T.M. Atzacoalco,RTP,U.C.T.M. Atzacoalco - Carmen Serdán
18986,5 De Febrero - Frente Delegación Gustavo A. Madero,,19.48283696,-99.11419988,Centro Comercial Santa Fe - La Villa/Cantera,RTP,Centro Comercial Santa Fe -  La Villa/Cantera por Palmas (Noche Bus)
17247,Acoxpa - El Bordo,,19.29967111,-99.14235234,Santa Catarina -  Metro Universidad,RTP,Santa Catarina - Metro Universidad
20734,5 De Mayo - Barranca Seca,,19.21674934,-98.98835063,Mixquic - Metro Tasqueña,RTP,Mixquic - Metro Tasqueña
26712,5 De Mayo - Guadalupe Hidalgo,,19.36520295,-99.20479417,Tepeaca - Metro Mixcoac,RTP,Tepeaca - Metro Mixcoac
19444,Anillo Periférico Boulevard Adolfo López Mateos - Avenida Observatorio_1,,19.40398524,-99.19246674,Cetram Metro Cuatro Caminos - Cetram Metro Constitución de 1917 Nocturno,RTP,Metro Constitución de 1917 - Metro Cuatro Caminos (Noche Bus)
19010,Anillo Periférico Boulevard Adolfo Ruiz Cortinez - Perisur (MB Picacho),,19.30310375,-99.1858685,Cetram Metro Constitución de 1917 - Cetram Metro Cuatro Caminos Nocturno,RTP,Metro Constitución de 1917 - Metro Cuatro Caminos (Noche Bus)
18932,Anillo Periférico Boulevard Adolfo Ruiz Cortinez - Kioto (tren Ligero),,19.2823954,-99.1383934,Cetram Metro Constitución de 1917 - Cetram Metro Cuatro Caminos Nocturno,RTP,Metro Constitución de 1917 - Metro Cuatro Caminos (Noche Bus)
19436,Anillo Periférico Boulevard Adolfo López Mateos - Papalote,,19.4160168,-99.19439793,Cetram Metro Cuatro Caminos - Cetram Metro Constitución de 1917 Nocturno,RTP,Metro Constitución de 1917 - Metro Cuatro Caminos (Noche Bus)
23147,Anillo de circunvalación - San Antonio Tomatlán,,19.43484658,-99.11893129,U.C.T.M. Atzacoalco - Carmen Serdán,RTP,U.C.T.M. Atzacoalco - Carmen Serdán
15330,"Agustín Olachea Avilés -	Jaime Torres Bodet",,19.42066121,-99.07309771,Metro Pantitlán - Arenal 4ta. Sección,RTP,Arenal 4ta. Sección - Metro Pantitlán
23106,Ángel Albino Corzo - Eduardo Molina,,19.46136242,-99.10573483,Panteón San Isidro - Aragón Nocturno,RTP,Aragón - Panteón San Isidro (Noche Bus)
22726,Angel Albino Corzo - Eduardo Molina,,19.46134219,-99.10498381,Aragón - Panteón San Isidro Nocturno,RTP,Aragón - Panteón San Isidro (Noche Bus)
18514,Avenida 412 - Avenida 489,,19.46693616,-99.07500744,Aragón - Metro Chapultepec,RTP,Aragón - Metro Chapultepec por la Villa
16062,Armada De México - Tepetlapa,Frente a Clinica Particular,19.315892,-99.11162496,Metro San Lázaro - Bosque de Nativitas por Cafetales,RTP,Bosque de Nativitas - Metro San Lázaro por Cafetales
19454,Anillo Periférico Sur - Price Club,,19.38611334,-99.19061065,Cetram Metro Cuatro Caminos - Cetram Metro Constitución de 1917 Nocturno,RTP,Metro Constitución de 1917 - Metro Cuatro Caminos (Noche Bus)
15792,Autopista México - Puebla - La Escondida,,19.33948132,-98.97620559,Campestre Potrero - Metro Zaragoza por Metro Tepalcates,RTP,Campestre Potrero - Metro Zaragoza
20062,Autopista México - Cuernavaca - Túnel De San Pedro Puente Verde_1,,19.24094045,-99.14731979,Caseta - Estadio Azteca,RTP,Estadio Azteca - Caseta Cuernavaca
19406,Anillo Periférico Boulevard Manuel Ávila Camacho - Avenida Industria Militar,,19.44222208,-99.21630621,Cetram Metro Cuatro Caminos - Cetram Metro Constitución de 1917 Nocturno,RTP,Metro Constitución de 1917 - Metro Cuatro Caminos (Noche Bus)
