latitud,longitud,nombre,linea
,,Tenayuca,3
,,San José de la Escalera,3
,,Poniente 128,3
,,Magdalena de las Salinas,3
,,Cuitláhuac,3
,,Héroe de Nacozari,3
,,Tolnahuác,3
,,Mina,3
,,Balderas,3
,,Cuauhtémoc,3
,,Centro Médico,3
,,Obrero Mundial,3
,,Plaza de la República,4
,,El Salvador,4
,,Pino Suárez,4
,,Circunvalación,4
,,Hospital Balbuena,4
,,Teatro del Pueblo,4
,,República de Argentina,4
,,República de Chile,4
,,Bellas Artes,4
,,Hidalgo,4
,,Río Consulado,5
,,Oriente 101,5
,,San Juan de Aragón,5
,,El Coyol,5
,,5 de Mayo,5
,,Buenavista,3
,,Villa de Aragón,6
,,La Pradera,6
,,416 Poniente,6
,,482,6
,,San Juan de Aragón,6
,,Martín Carrera,6
,,Delegación Gustavo A. Madero,6
,,Hospital Infantil La Villa,6
,,De Los Misterios,6
,,Riobamba,6
,,Lindavista-Vallejo,6
,,Tecnoparque,6
,,Robles Domínguez,7
,,Garibaldi,7
,,Hidalgo,7
,,París,7
,,Antropología,7
,,Deportivo 18 de Marzo,1
,,Potrero,1
,,Circuito,1
,,Álvaro Obregón,1
,,Chilpancingo,1
,,Nápoles,1
,,Ciudad de los Deportes,1
,,Parque Hundido,1
,,Río Churubusco,1
,,Teatro de los Insurgentes,1
,,Doctor Gálvez,1
,,Ciudad Universitaria,1
,,Perisur,1
,,Santa Úrsula,1
,,El Caminero,1
,,Tacubaya,2
,,Antonio Maceo,2
,,De la Salle,2
,,Viaducto,2
,,Amores,2
,,Etiopía,2
,,Doctor Vértiz,2
,,Centro SCOP,2
,,Las Américas,2
,,Andrés Molina,2
,,Canela,2
,,Constitución de Apatzingán,2
,,Tepalcates,2
,,Canal de San Juan,2
,,Progreso Nacional,3
,,Tres Anegas,3
,,Júpiter,3
,,La Patera,3
,,Hospital La Raza,3
,,Tlatelolco,3
,,Ricardo Flores Magón,3
,,Juárez,3
,,Hospital General,3
,,Doctor Márquez,3
,,Buenavista,4
,,Delegación Cuauhtémoc,4
,,Puente de Alvarado,4
,,Vocacional 5,4
,,Plaza San Juan,4
,,Eje Central,4
,,Merced,4
,,San Lázaro,4
,,Archivo General de la Nación,4
,,Teatro Blanquita,4
,,Museo San Carlos,4
,,Aeropuerto T2,4
,,Archivo General de la Nación,5
,,Mercado Morelos,5
,,Deportivo Eduardo Molina,5
,,Talismán,5
,,Río de Guadalupe,5
,,Preparatoria 3,5
,,Vasco de Quiroga,5
,,Colegio de Bachilleres 9,6
,,416 Oriente,6
,,414,6
,,Loreto Fabela,6
,,Pueblo San Juan de Aragón,6
,,Hospital General La Villa,6
,,La Villa,6
,,Deportivo 18 de Marzo,6
,,Instituto del Petróleo,6
,,Montevideo,6
,,Norte 59,6
,,Ferrocarriles Nacionales,6
,,Colegio de Bachilleres 1,6
,,El Rosario,6
,,Las Cruces Sur,4
,,La Raza,3
,,Indios Verdes,7
,,Garrido,7
,,Glorieta Violeta,7
,,El Caballito,7
,,La Palma,7
,,Gandhi,7
19.46309604,-99.15266277,MB03-A (Etiopia - Tenayuca),3
19.46269012,-99.14174317,MB01-A (Indios Verdes - Insurgentes),1
19.39346222,-99.11311196,MB02-D (Colonia del Valle - Tepalcates),2
19.4373904,-99.13505729,MB04-N (Buenavista - San Lazaro),4
19.38857847,-99.16569246,MB01-B (Indios Verdes - Caminero),1
19.39429795,-99.12604693,MB02-C (Rio Frio - Colonia del Valle),2
19.39485451,-99.11740204,MB02-A (Tepalcates - Tacubaya),2
19.36032916,-99.17631228,MB01-D (Caminero - Buenavista),1
19.48724238,-99.12797582,MB06-A (El Rosario - Villa de Aragon),6
19.4770751,-99.15222336,MB03-B (Tenayuca - Balderas),3
19.49748736,-99.15520886,MB03-D (La Raza - Tenayuca),3
19.47869158,-99.09463379,MB06-B (Villa de Aragon - IPN),6
19.43128113,-99.16498429,MB07-C (Campo Marte - Glorieta Cuitlahuac),7
19.45804489,-99.13405799,MB07-D (El Angel - Indios Verdes),7
19.47652076,-99.15211811,MB03-B (Balderas - Tenayuca),3
