Latitud,Longitud,Nombre,Línea
19.44864628,-99.17122364,Colegio Militar,Metro 2
19.345135,-99.063367,Constitución de 1917,Metro 8
19.41129131,-99.19138312,Constituyentes_1_2,Metro 7
19.45682033,-99.11388874,Consulado,Metro Línea 4 correspondencia con línea 5.
19.455485,-99.11348104,Consulado_1,Metro Línea 5 correspondencia con línea 4.
19.33597857,-99.17657733,Copilco,Metro 3
19.36142746,-99.17056918,Coyoacán,Metro 3
19.39769,-99.113413,Coyuya_1,Metro 8
19.458454,-99.214643,Cuatro Caminos,Metro 2
19.42565962,-99.15455103,Cuauhtémoc_1_2,Metro 1
19.45668,-99.181555,Cuitláhuac_1_4,Metro 2
19.33887391,-99.10894275,Culhuacán,Metro 12
19.4840507,-99.12543297,Deportivo 18 de Marzo_1_3,Metro Línea 3 correspondencia con línea 6.
19.48358544,-99.12576556,Deportivo 18 de Marzo_1_4,Metro Línea 6 correspondencia con línea 3.
19.45077077,-99.07917023,Deportivo Oceanía,Metro B
19.3789276,-99.15950775,División del Norte,Metro 3
19.42049932,-99.14335012,Doctores,Metro 8
19.45112485,-99.10544515,Eduardo Molina_1,Metro 5
19.36118453,-99.15133238,Eje Central_1_3,Metro 12
19.50522896,-99.19948339,El Rosario_1,Metro Línea 6 correspondencia con línea 7.
19.5039547,-99.20029879,El Rosario_1_2,Metro Línea 7 correspondencia con línea 6.
19.36186271,-99.14263129,Ermita,Metro 2
19.36030391,-99.1448307,Ermita_1,Metro Línea 12
19.36449442,-99.10931826,Escuadrón 201,Metro 8
19.39604129,-99.15617108,Etiopía / Plaza de la Transpatencia,Metro 3
19.38628539,-99.15724397,Eugenia,Metro 3
19.49039233,-99.173702,Ferrería,Metro 6
19.42149092,-99.12033677,Fray Servando,Metro 4
19.41608763,-99.09070373,Gómez Farías,Metro 1
19.443376,-99.139954,Garibaldi,Metro Línea B correspondencia con línea 8.
19.443082,-99.139034,Garibaldi_1,Metro Línea 8 correspondencia con línea B.
19.35319801,-99.14478779,General Anaya,Metro 2
19.38459525,-99.03579354,Guelatao,Metro A
19.44475133,-99.14501309,Guerrero_1_3,Metro Línea 3 correspondencia con línea B.
19.44522682,-99.1463542,Guerrero_1_4,Metro Línea B correspondencia con línea 3.
19.423251,-99.087095,Hangares,Metro 5
19.4376997,-99.14730906,Hidalgo_1_2,Metro Línea 2 correspondencia con línea 3.
19.43674867,-99.14681554,Hidalgo_1_3,Metro Línea 3 correspondencia con línea 2.
19.37192372,-99.17099833,Hospital 20 de Nov.,Metro 12
19.41369961,-99.1531992,Hospital General_1,Metro 3
19.484987,-99.048743,Impulsora,Metro B
19.495315,-99.119141,Indios Verdes_1,Metro 3
19.48983606,-99.14455175,Instituto del Petróleo_1,Metro Línea 6 correspondencia con línea 5.
19.49054404,-99.14638638,Instituto del Petroleo,Metro Línea 6 correspondencia con línea 5.
19.37360387,-99.17859435,Insurgentes Sur_1,Metro 12
19.42359552,-99.16325212,Insurgentes_1_5,Metro 1
19.4260947,-99.13782477,Isabel la Católica_1_5,Metro 1
19.388092,-99.112086,Iztacalco_1,Metro 8
19.35760127,-99.09341812,Iztapalapa,Metro 8
19.40894369,-99.12227869,Jamaica,Metro Línea 9 correspondencia con línea 4.
19.41014786,-99.12203193,Jamaica_1,Metro Línea 4 correspondencia con línea 9.
19.43336942,-99.14771676,Juárez_1_3,Metro 3
19.41290022,-99.18207049,Juanacatlán,Metro 1
19.40702104,-99.14433718,Lázaro Cárdenas,Metro 9
19.41927069,-99.1384947,Línea 1,Línea 1
19.33580513,-99.1025165,Línea 12,Línea 12
19.41880024,-99.15616781,Línea 2,Línea 2
19.41041632,-99.15363532,Línea 3,Línea 3
19.44299093,-99.11610133,Línea 4,Línea 4
19.45538398,-99.1118391,Línea 5,Línea 5
19.48936126,-99.15632964,Línea 6,Línea 6
19.43333583,-99.19037661,Línea 7,Línea 7
19.38743431,-99.11311506,Línea 8,Línea 8
19.40790891,-99.12863332,Línea 9,Línea 9
19.37804117,-99.02076834,Línea A,Línea A
19.46787477,-99.07673381,Línea B,Línea B
19.35048513,-98.96061659,La Paz,Metro A
19.46907052,-99.13904786,La Raza_1_2,Metro Línea 3 correspondencia con línea 5.
19.468965,-99.136176,La Raza_1_3,Metro Línea 5 correspondencia con línea 3.
19.406106,-99.125973,La Viga_1,Metro 8
